image_id,width,height,bbox,source
1,720,405,"[220, 183, 154, 104]",holothurian
1,720,405,"[90, 275, 104, 94]",starfish
2,720,405,"[127, 182, 93, 199]",holothurian
2,720,405,"[264, 68, 164, 64]",holothurian
2,720,405,"[316, 298, 102, 106]",holothurian
2,720,405,"[584, 31, 80, 33]",holothurian
2,720,405,"[202, 183, 162, 172]",echinus
2,720,405,"[619, 234, 101, 160]",echinus
2,720,405,"[52, 244, 118, 127]",echinus
2,720,405,"[108, 345, 150, 59]",echinus
2,720,405,"[1, 239, 74, 78]",echinus
2,720,405,"[1, 284, 85, 120]",echinus
2,720,405,"[296, 1, 81, 53]",scallop
2,720,405,"[527, 53, 120, 95]",scallop
2,720,405,"[454, 108, 117, 100]",scallop
2,720,405,"[501, 289, 205, 117]",scallop
2,720,405,"[610, 105, 111, 102]",scallop
2,720,405,"[412, 180, 131, 95]",scallop
2,720,405,"[364, 255, 188, 151]",scallop
2,720,405,"[592, 14, 126, 52]",scallop
2,720,405,"[244, 342, 116, 62]",scallop
2,720,405,"[686, 168, 35, 114]",scallop
2,720,405,"[243, 306, 174, 98]",scallop
3,3840,2160,"[1836, 1287, 172, 144]",echinus
3,3840,2160,"[527, 1134, 152, 120]",echinus
3,3840,2160,"[2074, 922, 152, 130]",echinus
3,3840,2160,"[2599, 1080, 158, 138]",echinus
3,3840,2160,"[732, 1142, 165, 133]",echinus
3,3840,2160,"[543, 1338, 149, 121]",echinus
3,3840,2160,"[1180, 1202, 129, 103]",echinus
3,3840,2160,"[246, 1307, 164, 131]",echinus
3,3840,2160,"[804, 618, 119, 111]",echinus
3,3840,2160,"[1904, 583, 115, 95]",echinus
3,3840,2160,"[1067, 856, 170, 136]",echinus
3,3840,2160,"[1478, 888, 155, 141]",echinus
3,3840,2160,"[198, 1822, 183, 153]",echinus
3,3840,2160,"[1319, 492, 130, 111]",echinus
3,3840,2160,"[2726, 863, 121, 117]",echinus
3,3840,2160,"[2165, 745, 87, 67]",echinus
3,3840,2160,"[2466, 775, 115, 101]",echinus
3,3840,2160,"[1, 1311, 127, 152]",echinus
3,3840,2160,"[2965, 862, 98, 90]",echinus
3,3840,2160,"[3072, 940, 101, 97]",echinus
3,3840,2160,"[811, 1877, 236, 253]",echinus
3,3840,2160,"[2066, 671, 112, 99]",echinus
3,3840,2160,"[1740, 469, 83, 65]",echinus
3,3840,2160,"[1648, 532, 99, 87]",echinus
3,3840,2160,"[735, 1449, 203, 176]",starfish
3,3840,2160,"[596, 628, 163, 121]",starfish
3,3840,2160,"[1613, 690, 122, 84]",starfish
3,3840,2160,"[2072, 783, 136, 93]",starfish
3,3840,2160,"[1682, 980, 137, 111]",starfish
3,3840,2160,"[2180, 664, 87, 67]",echinus
3,3840,2160,"[2305, 573, 64, 47]",echinus
3,3840,2160,"[2229, 544, 64, 47]",echinus
3,3840,2160,"[2480, 565, 64, 47]",echinus
3,3840,2160,"[2518, 519, 64, 47]",echinus
3,3840,2160,"[2498, 357, 49, 46]",echinus
3,3840,2160,"[2448, 348, 49, 46]",echinus
3,3840,2160,"[2669, 766, 49, 46]",echinus
3,3840,2160,"[2744, 803, 49, 46]",echinus
3,3840,2160,"[2889, 801, 49, 46]",echinus
3,3840,2160,"[2929, 650, 49, 46]",echinus
3,3840,2160,"[3013, 735, 49, 46]",echinus
3,3840,2160,"[3046, 759, 49, 46]",echinus
3,3840,2160,"[2818, 596, 49, 46]",echinus
3,3840,2160,"[1941, 306, 83, 65]",echinus
3,3840,2160,"[1578, 190, 83, 65]",echinus
3,3840,2160,"[1697, 229, 57, 54]",echinus
3,3840,2160,"[1764, 137, 57, 54]",echinus
3,3840,2160,"[1267, 153, 57, 54]",echinus
3,3840,2160,"[642, 121, 119, 111]",echinus
3,3840,2160,"[640, 119, 119, 111]",echinus
3,3840,2160,"[3279, 858, 66, 43]",echinus
3,3840,2160,"[3335, 836, 49, 46]",echinus
3,3840,2160,"[3376, 892, 71, 54]",echinus
3,3840,2160,"[3617, 1125, 81, 64]",echinus
3,3840,2160,"[3626, 986, 81, 64]",echinus
3,3840,2160,"[3690, 1108, 55, 48]",echinus
4,720,405,"[328, 55, 55, 57]",echinus
4,720,405,"[153, 241, 44, 43]",echinus
4,720,405,"[404, 309, 61, 53]",starfish
5,1920,1080,"[400, 690, 101, 174]",holothurian
5,1920,1080,"[1572, 842, 131, 94]",holothurian
